Transaction_Point_ID,Transaction_Point_Name,Actor Type,Val_Primary,Data Access,N_variables,Variables
TP01,Fare Construction,Carrier,Cost,MNAR,1,YQ/YR Surcharge
TP01,Fare Construction,Carrier,Income,OBSERVED,1,Add-On / Proportional Fare
TP01,Fare Construction,Carrier,Market,MNAR,3,Fare Basis Code; Rule Number; Combinability Indicator
TP01,Fare Construction,Carrier,Option,MNAR,2,Tariff Type (public/private); Category 35 — Negotiated Fare
TP01,Fare Construction,Carrier,Option,OBSERVED,1,Advance Purchase Requirement
TP01,Fare Construction,Carrier,Risk,MNAR,2,Category 31 — Voluntary Changes; Category 33 — Voluntary Refunds
TP01,Fare Construction,Carrier,Risk,OBSERVED,1,Category 16 — Penalties (display text)
TP01,Fare Construction,Industry Body,Income,MNAR,1,HIP (Highest Intermediate Point)
TP01,Fare Construction,Industry Body,Market,MNAR,1,MPM (Maximum Permitted Mileage)
TP01,Fare Construction,Industry Body,Option,MNAR,1,Category 25 — Fare By Rule
TP02,Offer Pricing & Display,Carrier,Cost,MNAR,1,YQ/YR Surcharge
TP02,Offer Pricing & Display,Carrier,Income,MNAR,2,Fare Owner; Class of Service
TP02,Offer Pricing & Display,Carrier,Income,OBSERVED,6,Offer; Price (Base Amount); Price (Total Amount); base (price); includedCheckedBags (quantity); Transaction Price (IFRS 15 via IATA IAWG)
TP02,Offer Pricing & Display,Carrier,Market,MNAR,3,Fare Basis Code; Rule Number; Combinability Indicator
TP02,Offer Pricing & Display,Carrier,Market,OBSERVED,4,currency; fareDetailsBySegment (cabin); fareDetailsBySegment (fareBasis); fareDetailsBySegment (brandedFare)
TP02,Offer Pricing & Display,Carrier,Option,MNAR,3,Tariff Type (public/private); Category 35 — Negotiated Fare; RBD (Booking Class Code)
TP02,Offer Pricing & Display,Carrier,Option,OBSERVED,6,Advance Purchase Requirement; Price Guarantee Time Limit; numberOfBookableSeats; lastTicketingDate; fareDetailsBySegment (class); Release Sell Date (SSIM)
TP02,Offer Pricing & Display,Carrier,Risk,OBSERVED,3,Cancel Restrictions (Allowed Modification Indicator); Change Restrictions (Allowed Modification Indicator); instantTicketingRequired
TP02,Offer Pricing & Display,Industry Body,Market,OBSERVED,1,Fare Type
TP02,Offer Pricing & Display,Vendor,Cost,OBSERVED,1,fees (SUPPLIER / TICKETING)
TP02,Offer Pricing & Display,Vendor,Income,OBSERVED,3,grandTotal; chargeableSeatNumber; additionalServices (type/amount)
TP02,Offer Pricing & Display,Vendor,Market,OBSERVED,1,source (GDS)
TP03,Order Confirmation & Ticketing,Carrier,Income,OBSERVED,7,Price (Base Amount); Price (Total Amount); Order; Order Item (Grand Total Amount); Fee (Amount); base (price); Transaction Price (IFRS 15 via IATA IAWG)
TP03,Order Confirmation & Ticketing,Carrier,Market,OBSERVED,1,currency
TP03,Order Confirmation & Ticketing,Carrier,Option,OBSERVED,3,Price Guarantee Time Limit; Payment Time Limit; lastTicketingDate
TP03,Order Confirmation & Ticketing,Carrier,Risk,MNAR,3,Category 31 — Voluntary Changes; Category 33 — Voluntary Refunds; PNR (Passenger Name Record)
TP03,Order Confirmation & Ticketing,Carrier,Risk,OBSERVED,6,Category 16 — Penalties (display text); Penalty (Amount); Cancel Restrictions (Allowed Modification Indicator); Change Restrictions (Allowed Modification Indicator); Tax (Refund Indicator); instantTicketingRequired
TP03,Order Confirmation & Ticketing,Industry Body,Income,MNAR,1,Interline Settlement Information / Settlement Amount
TP03,Order Confirmation & Ticketing,Industry Body,Income,OBSERVED,2,Ticket Type; EMD (Electronic Miscellaneous Document)
TP03,Order Confirmation & Ticketing,Industry Body,Market,OBSERVED,2,Journey Type; Interline Settlement Information / Method Code
TP03,Order Confirmation & Ticketing,Regulator,Cost,OBSERVED,2,Tax (Filed Amount); Tax Code
TP03,Order Confirmation & Ticketing,Vendor,Cost,OBSERVED,1,fees (SUPPLIER / TICKETING)
TP03,Order Confirmation & Ticketing,Vendor,Income,OBSERVED,1,grandTotal
TP04,Ancillary Service Charge,Carrier,Cost,OBSERVED,1,Refund Amount (EMD)
TP04,Ancillary Service Charge,Carrier,Income,OBSERVED,8,Fee (Amount); includedCheckedBags (quantity); Ancillary Charge Amount; EMD-A (Associated); EMD-S (Standalone); Change Fee (EMD); Upgrade Fee (EMD); Coupon Status (EMD)
TP04,Ancillary Service Charge,Carrier,Risk,MNAR,2,Category 31 — Voluntary Changes; Category 33 — Voluntary Refunds
TP04,Ancillary Service Charge,Carrier,Risk,OBSERVED,1,Penalty (Amount)
TP04,Ancillary Service Charge,Industry Body,Income,OBSERVED,4,EMD (Electronic Miscellaneous Document); Excess Baggage Proration Method; EMD Number; Service Code (EMD)
TP04,Ancillary Service Charge,Vendor,Income,OBSERVED,2,chargeableSeatNumber; additionalServices (type/amount)
TP05,Interline Proration & Settlement,Carrier,Cost,MNAR,1,Partner Airline Agency Fee
TP05,Interline Proration & Settlement,Carrier,Income,MNAR,3,Amount to be Prorated; Fare Owner; Class of Service
TP05,Interline Proration & Settlement,Carrier,Income,OBSERVED,1,Add-On / Proportional Fare
TP05,Interline Proration & Settlement,Carrier,Market,MNAR,1,Fare Basis Code
TP05,Interline Proration & Settlement,Carrier,Market,OBSERVED,3,currency; fareDetailsBySegment (fareBasis); Codeshare Indicator (SSIM)
TP05,Interline Proration & Settlement,Carrier,Option,MNAR,1,RBD (Booking Class Code)
TP05,Interline Proration & Settlement,Industry Body,Cost,MNAR,1,VAT Amount
TP05,Interline Proration & Settlement,Industry Body,Cost,OBSERVED,2,Billing Period; Payment Terms — 30 days (SGHA)
