Variable,Agent
Fare Basis Code,ATPCO_Filing_Agent
Fare Basis Code,GDS_Agent
Rule Number,ATPCO_Filing_Agent
Tariff Type (public/private),ATPCO_Filing_Agent
Category 25 — Fare By Rule,ATPCO_Filing_Agent
Category 35 — Negotiated Fare,ATPCO_Filing_Agent
Category 35 — Negotiated Fare,GDS_Agent
Category 16 — Penalties (display text),ATPCO_Filing_Agent
Category 31 — Voluntary Changes,ATPCO_Filing_Agent
Category 31 — Voluntary Changes,Passenger_Recovery_Agent
Category 33 — Voluntary Refunds,ATPCO_Filing_Agent
Category 33 — Voluntary Refunds,Passenger_Recovery_Agent
YQ/YR Surcharge,ATPCO_Filing_Agent
YQ/YR Surcharge,RMS_Agent
HIP (Highest Intermediate Point),ATPCO_Filing_Agent
HIP (Highest Intermediate Point),Interline_Settlement_Agent
MPM (Maximum Permitted Mileage),ATPCO_Filing_Agent
MPM (Maximum Permitted Mileage),Interline_Settlement_Agent
Add-On / Proportional Fare,ATPCO_Filing_Agent
Add-On / Proportional Fare,Interline_Settlement_Agent
Advance Purchase Requirement,ATPCO_Filing_Agent
Advance Purchase Requirement,RMS_Agent
Combinability Indicator,ATPCO_Filing_Agent
Combinability Indicator,GDS_Agent
Offer,RMS_Agent
Offer,Execution_Engine
Price (Base Amount),RMS_Agent
Price (Base Amount),Execution_Engine
Price (Total Amount),Execution_Engine
Price (Total Amount),GDS_Agent
grandTotal,GDS_Agent
grandTotal,Execution_Engine
base (price),RMS_Agent
base (price),Execution_Engine
fees (SUPPLIER / TICKETING),GDS_Agent
fees (SUPPLIER / TICKETING),Execution_Engine
currency,GDS_Agent
currency,Interline_Settlement_Agent
numberOfBookableSeats,RMS_Agent
numberOfBookableSeats,Execution_Engine
lastTicketingDate,Execution_Engine
lastTicketingDate,GDS_Agent
fareDetailsBySegment (cabin),GDS_Agent
fareDetailsBySegment (fareBasis),GDS_Agent
fareDetailsBySegment (fareBasis),Interline_Settlement_Agent
fareDetailsBySegment (brandedFare),GDS_Agent
fareDetailsBySegment (class),GDS_Agent
RBD (Booking Class Code),Execution_Engine
RBD (Booking Class Code),GDS_Agent
additionalServices (type/amount),GDS_Agent
additionalServices (type/amount),Execution_Engine
chargeableSeatNumber,GDS_Agent
instantTicketingRequired,GDS_Agent
instantTicketingRequired,Execution_Engine
Cancel Restrictions (Allowed Modification Indicator),RMS_Agent
Cancel Restrictions (Allowed Modification Indicator),GDS_Agent
Change Restrictions (Allowed Modification Indicator),RMS_Agent
Change Restrictions (Allowed Modification Indicator),GDS_Agent
Transaction Price (IFRS 15 via IATA IAWG),RMS_Agent
Transaction Price (IFRS 15 via IATA IAWG),Loyalty_Agent
Fare Owner,ATPCO_Filing_Agent
Fare Owner,Interline_Settlement_Agent
