Variable Name,Source Document,Source Category,MAS Function,Actor,Actor Type,Valuation Type,Data Type,AIDM Domain,Notes,Data Access,Transaction_Point_ID,Transaction_Point_Name,TP_MAS_Function,TP_ERD_Source,Val_Primary
Settlement Amount,SIS IS-XML,Industry Schema,Distribution / GDS,Amadeus (SIS),Vendor,Income,Numeric,Settlement with Orders,Net amount due between two parties after billing and proration,MNAR,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Income
Proration Value,SIS IS-XML,Industry Schema,Distribution / GDS,Amadeus (SIS),Vendor,Income,Numeric,Settlement with Orders,Portion of through-fare allocated to each carrier segment,MNAR,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Income
Five Day Rate (FDR),SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Market,Numeric,Settlement with Orders,Currency conversion rate averaged over 5 banking days ending 25th of month,OBSERVED,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Market
Billing Period,SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Cost,Date Range,Settlement with Orders,Monthly time window for interline billings,OBSERVED,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Cost
Charge Category Code,SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Market,Categorical,Settlement with Orders,IS-XML classification of charge type (PAX/cargo/misc),OBSERVED,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Market
Charge Code,SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Market,Categorical,Settlement with Orders,Sub-classification of specific charge type,OBSERVED,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Market
F12 File Total,SIS IS-XML,Industry Schema,Distribution / GDS,Amadeus (SIS),Vendor,Income,Numeric,Settlement with Orders,Sum of invoice totals uploaded for weekly ICH clearing,MNAR,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Income
Reject Amount,SIS IS-XML,Industry Schema,Distribution / GDS,Amadeus (SIS),Vendor,Risk,Numeric,Settlement with Orders,Value of invoices rejected by billed carrier,MNAR,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Risk
Reject Amount,SIS IS-XML,Industry Schema,Distribution / GDS,Amadeus (SIS),Vendor,Risk,Numeric,Settlement with Orders,Value of invoices rejected by billed carrier,MNAR,TP10,Payment Clearance & Dispute,Fraud / Payment / Distribution,PCI DSS v4.0.1; IATA SIS IS-XML,Risk
Dispute Amount,SIS IS-XML,Industry Schema,Distribution / GDS,Amadeus (SIS),Vendor,Risk,Numeric,Settlement with Orders,Value of invoices under formal dispute between carriers,MNAR,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Risk
Dispute Amount,SIS IS-XML,Industry Schema,Distribution / GDS,Amadeus (SIS),Vendor,Risk,Numeric,Settlement with Orders,Value of invoices under formal dispute between carriers,MNAR,TP10,Payment Clearance & Dispute,Fraud / Payment / Distribution,PCI DSS v4.0.1; IATA SIS IS-XML,Risk
Credit Note Value,SIS IS-XML,Industry Schema,Distribution / GDS,Amadeus (SIS),Vendor,Cost,Numeric,Settlement with Orders,Adjustment issued to correct or reverse earlier billing,MNAR,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Cost
Credit Note Value,SIS IS-XML,Industry Schema,Distribution / GDS,Amadeus (SIS),Vendor,Cost,Numeric,Settlement with Orders,Adjustment issued to correct or reverse earlier billing,MNAR,TP10,Payment Clearance & Dispute,Fraud / Payment / Distribution,PCI DSS v4.0.1; IATA SIS IS-XML,Cost
VAT Amount,SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Cost,Numeric,Settlement with Orders,Tax component of invoice — jurisdiction-specific,MNAR,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Cost
Auto-Billing Uplift,SIS IS-XML,Industry Schema,Distribution / GDS,Amadeus (SIS),Vendor,Income,String/Numeric,Settlement with Orders,Carrier-submitted uplifts triggering automated billing,MNAR,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Income
NFP (Neutral Fare Proration),SIS IS-XML,Industry Schema,Distribution / GDS,Amadeus (SIS),Vendor,Income,Numeric,Settlement with Orders,Third-party proration value used in First and Final settlement,MNAR,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Income
BilledMember,SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Income,String (AN 3),Settlement with Orders,Member prefix (e.g. 220 for Lufthansa — 001 for American Airlines),OBSERVED,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Income
InvoiceNumber,SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Income,String (AN 10),Settlement with Orders,Unique invoice identifier per billing period,OBSERVED,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Income
BillingCategory,SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Market,Categorical (AN 1),Settlement with Orders,M = Miscellaneous invoice type,OBSERVED,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Market
LineItem/ChargeCode,SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Market,String,Settlement with Orders,Charge code at line item level,OBSERVED,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Market
LineItem/ChargeAmount,SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Income,Numeric,Settlement with Orders,Base amount at line item level,OBSERVED,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Income
LineItem/TotalNetAmount,SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Income,Numeric,Settlement with Orders,Total net amount per line item (base + add-on + tax + VAT),OBSERVED,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Income
InvoiceSummary/TotalLineItemAmount,SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Income,Numeric,Settlement with Orders,Sum of all line item base amounts,OBSERVED,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Income
InvoiceHeader/PaymentTerms/CurrencyCode,SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Market,String (ISO 4217),Settlement with Orders,Currency of billing,OBSERVED,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Market
Interline Billing Basis,IATA Interline Checklist,Industry Schema,Distribution / GDS,IATA,Industry Body,Income,Categorical,Settlement with Orders,Foundation rule for how interline charges are calculated,OBSERVED,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Income
Ticket Type,IATA Interline Checklist,Industry Schema,Distribution / GDS,IATA,Industry Body,Income,Categorical,Order Management,original / involuntary reroute / group / FFP,OBSERVED,TP03,Order Confirmation & Ticketing,Revenue Management,IATA ONE Order Order lifecycle; IATA EMD Resolution 725,Income
Ticket Type,IATA Interline Checklist,Industry Schema,Distribution / GDS,IATA,Industry Body,Income,Categorical,Order Management,original / involuntary reroute / group / FFP,OBSERVED,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Income
Journey Type,IATA Interline Checklist,Industry Schema,Distribution / GDS,IATA,Industry Body,Market,Categorical,Order Management,stopover / transfer / seasonality,OBSERVED,TP03,Order Confirmation & Ticketing,Revenue Management,IATA ONE Order Order lifecycle; IATA EMD Resolution 725,Market
Journey Type,IATA Interline Checklist,Industry Schema,Distribution / GDS,IATA,Industry Body,Market,Categorical,Order Management,stopover / transfer / seasonality,OBSERVED,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Market
Amount to be Prorated,IATA Interline Checklist,Industry Schema,Distribution / GDS,Carrier,Carrier,Income,Numeric,Settlement with Orders,Actual dollar value subject to proration formula,MNAR,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Income
Fare Owner,IATA Interline Checklist,Industry Schema,Distribution / GDS,Carrier,Carrier,Income,String (IATA code),Shopping,Carrier holding the fare basis code used to price,MNAR,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Income
Fare Owner,IATA Interline Checklist,Industry Schema,Distribution / GDS,Carrier,Carrier,Income,String (IATA code),Shopping,Carrier holding the fare basis code used to price,MNAR,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Income
Fare Type,IATA Interline Checklist,Industry Schema,Distribution / GDS,IATA,Industry Body,Market,Categorical,Shopping,normal / special / promotional / negotiated,OBSERVED,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Market
Fare Type,IATA Interline Checklist,Industry Schema,Distribution / GDS,IATA,Industry Body,Market,Categorical,Shopping,normal / special / promotional / negotiated,OBSERVED,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Market
Sector Type,IATA Interline Checklist,Industry Schema,Distribution / GDS,IATA,Industry Body,Market,Categorical,Flights,domestic / international / transborder,OBSERVED,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Market
Sector Type,IATA Interline Checklist,Industry Schema,Distribution / GDS,IATA,Industry Body,Market,Categorical,Flights,domestic / international / transborder,OBSERVED,TP06,Schedule Publication & Slot Coordination,Distribution / GDS / Workforce Management,IATA SSIM Chapter 7; AIDX v22.1 CDM milestones,Market
Class of Service,IATA Interline Checklist,Industry Schema,Distribution / GDS,Carrier,Carrier,Income,String (code),Shopping,Booking class code determining fare level and proration weight,MNAR,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Income
Class of Service,IATA Interline Checklist,Industry Schema,Distribution / GDS,Carrier,Carrier,Income,String (code),Shopping,Booking class code determining fare level and proration weight,MNAR,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Income
Settlement Method,IATA Interline Checklist,Industry Schema,Distribution / GDS,Amadeus (SIS),Vendor,Cost,Categorical,Settlement with Orders,SIS / bilateral / ICH — agreed settlement channel,MNAR,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Cost
EMD (Electronic Miscellaneous Document),IATA Interline Checklist,Industry Schema,Distribution / GDS,IATA,Industry Body,Income,String/Numeric,Order Management,Document recording ancillary service charges for interline billing,OBSERVED,TP03,Order Confirmation & Ticketing,Revenue Management,IATA ONE Order Order lifecycle; IATA EMD Resolution 725,Income
EMD (Electronic Miscellaneous Document),IATA Interline Checklist,Industry Schema,Distribution / GDS,IATA,Industry Body,Income,String/Numeric,Order Management,Document recording ancillary service charges for interline billing,OBSERVED,TP04,Ancillary Service Charge,Revenue Management,IATA EMD Resolution 725; IATA ONE Order,Income
Excess Baggage Proration Method,IATA Interline Checklist,Industry Schema,Distribution / GDS,IATA,Industry Body,Income,Categorical,Baggage,Rule for splitting excess baggage charges between carriers,OBSERVED,TP04,Ancillary Service Charge,Revenue Management,IATA EMD Resolution 725; IATA ONE Order,Income
Excess Baggage Proration Method,IATA Interline Checklist,Industry Schema,Distribution / GDS,IATA,Industry Body,Income,Categorical,Baggage,Rule for splitting excess baggage charges between carriers,OBSERVED,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Income
Fare Basis Code,ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Market,String (alphanumeric),Shopping,Alpha-numeric identifier linking fare to rules — ATPCO public taxonomy,MNAR,TP01,Fare Construction,Revenue Management,ATPCO Category Taxonomy; 14 CFR 221,Market
Fare Basis Code,ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Market,String (alphanumeric),Shopping,Alpha-numeric identifier linking fare to rules — ATPCO public taxonomy,MNAR,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Market
Fare Basis Code,ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Market,String (alphanumeric),Shopping,Alpha-numeric identifier linking fare to rules — ATPCO public taxonomy,MNAR,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Market
Rule Number,ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Market,String (numeric),Shopping,Reference to specific fare rule record,MNAR,TP01,Fare Construction,Revenue Management,ATPCO Category Taxonomy; 14 CFR 221,Market
Rule Number,ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Market,String (numeric),Shopping,Reference to specific fare rule record,MNAR,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Market
Tariff Type (public/private),ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Option,Categorical,Shopping,public / private / negotiated,MNAR,TP01,Fare Construction,Revenue Management,ATPCO Category Taxonomy; 14 CFR 221,Option
Tariff Type (public/private),ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Option,Categorical,Shopping,public / private / negotiated,MNAR,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Option
Category 25 — Fare By Rule,ATPCO (composite),Industry Schema,Revenue Management,ATPCO,Industry Body,Option/Income,Algorithm,Shopping,Creates fare records from base fare — algorithm is dark zone,MNAR,TP01,Fare Construction,Revenue Management,ATPCO Category Taxonomy; 14 CFR 221,Option
Category 35 — Negotiated Fare,ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Option,Categorical,Shopping,Private fares for corporate/agency accounts,MNAR,TP01,Fare Construction,Revenue Management,ATPCO Category Taxonomy; 14 CFR 221,Option
Category 35 — Negotiated Fare,ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Option,Categorical,Shopping,Private fares for corporate/agency accounts,MNAR,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Option
Category 16 — Penalties (display text),ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Risk,String (text),Shopping,Display-only text — NOT automated for pricing,OBSERVED,TP01,Fare Construction,Revenue Management,ATPCO Category Taxonomy; 14 CFR 221,Risk
Category 16 — Penalties (display text),ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Risk,String (text),Shopping,Display-only text — NOT automated for pricing,OBSERVED,TP03,Order Confirmation & Ticketing,Revenue Management,IATA ONE Order Order lifecycle; IATA EMD Resolution 725,Risk
Category 31 — Voluntary Changes,ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Risk/Cost,Algorithm,Order Management,AUTOMATED — rules for passenger-initiated changes,MNAR,TP01,Fare Construction,Revenue Management,ATPCO Category Taxonomy; 14 CFR 221,Risk
