Source,Target,Edge_Type,Valuation_Payload,Data_Access,Hammond_Risk,Access_Score,Competing_Score,Hammond_Score,Governance_Stress_Score,N_Vars_Source_Full,N_Vars_Target_Full,N_MNAR_Source_Full
RMS_Agent,Loyalty_Agent,TRIGGERS,Option/Cost,MNAR,Collusion,2,1,3,6,132,10,100
RMS_Agent,Execution_Engine,PASSES_TO,Income/Option,MNAR,Conflict,2,1,2,5,132,11,100
Payment_Clearance_Agent,Interline_Settlement_Agent,TRIGGERS,Income/Cost,MNAR,Collusion,2,0,3,5,13,40,6
GDS_Agent,Interline_Settlement_Agent,TRIGGERS,Income/Cost,MNAR,Conflict,2,1,2,5,108,40,68
Transaction_Stream_Agent,Card_Network_Agent,PASSES_TO,Risk,MNAR,Conflict,2,0,2,4,67,4,55
Ground_Handler_Agent,Crew_Scheduling_Agent,CONSTRAINS,Cost/Risk,MNAR,Conflict,2,0,2,4,15,69,6
Crew_Recovery_Agent,Passenger_Recovery_Agent,CONSTRAINS,Risk/Cost,PARTIAL,Conflict,1,1,2,4,2,5,0
Responsible_Airline_Agent,Interline_Settlement_Agent,TRIGGERS,Income/Cost,MNAR,Conflict,2,0,2,4,17,40,1
Card_Network_Agent,Payment_Clearance_Agent,PASSES_TO,Income/Risk,MNAR,Miscoordination,2,1,1,4,4,13,4
ATPCO_Filing_Agent,RMS_Agent,CONSTRAINS,Market/Cost,PARTIAL,Miscoordination,1,1,1,3,17,132,13
Crew_Scheduling_Agent,Crew_Recovery_Agent,CONSTRAINS,Cost/Risk,MNAR,Miscoordination,2,0,1,3,69,2,12
Airport_Charge_Agent,RMS_Agent,CONSTRAINS,Cost/Market,OBSERVED,,0,1,0,1,25,132,1
Passenger_Recovery_Agent,Coordinator_Agent,PASSES_TO,Risk/Cost,OBSERVED,,0,1,0,1,5,1,2
Aircraft_Recovery_Agent,Crew_Recovery_Agent,CONSTRAINS,Cost/Risk,OBSERVED,Miscoordination,0,0,1,1,46,2,7
CDM_Airport_Agent,Aircraft_Recovery_Agent,CONSTRAINS,Cost/Option,OBSERVED,Miscoordination,0,0,1,1,14,46,0
GDS_Agent,Responsible_Airline_Agent,PASSES_TO,Income/Market,OBSERVED,,0,1,0,1,108,17,68
Execution_Engine,GDS_Agent,PASSES_TO,Market/Income,OBSERVED,,0,0,0,0,11,108,1
Aircraft_Recovery_Agent,Coordinator_Agent,PASSES_TO,Cost/Risk,OBSERVED,,0,0,0,0,46,1,7
Crew_Recovery_Agent,Coordinator_Agent,PASSES_TO,Cost/Risk,OBSERVED,,0,0,0,0,2,1,0
Schedule_Agent,Crew_Scheduling_Agent,CONSTRAINS,Cost/Market,OBSERVED,,0,0,0,0,155,69,19
