carrier,jurisdiction,period,route,data_source,visibility,value,n_obs,aidm_variable,mas_function,valuation_type,unit,origin_airport,dest_airport,year,month
AA,USA,2023Q1,BOS-ATL,BTS_DB1B_PLACEHOLDER,HIGH,208.6512244897959,196,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,BOS-DEN,BTS_DB1B_PLACEHOLDER,HIGH,221.3877,200,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,BOS-DFW,BTS_DB1B_PLACEHOLDER,HIGH,226.59676923076924,195,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,BOS-LAX,BTS_DB1B_PLACEHOLDER,HIGH,231.06635922330096,206,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,BOS-MCO,BTS_DB1B_PLACEHOLDER,HIGH,224.94115577889448,199,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,BOS-MIA,BTS_DB1B_PLACEHOLDER,HIGH,210.515,200,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,BOS-ORD,BTS_DB1B_PLACEHOLDER,HIGH,214.7694252873563,174,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,BOS-SEA,BTS_DB1B_PLACEHOLDER,HIGH,221.81632978723405,188,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,DCA-ATL,BTS_DB1B_PLACEHOLDER,HIGH,205.9800518134715,193,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,DCA-DEN,BTS_DB1B_PLACEHOLDER,HIGH,217.91486772486775,189,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,DCA-DFW,BTS_DB1B_PLACEHOLDER,HIGH,217.5279487179487,195,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,DCA-LAX,BTS_DB1B_PLACEHOLDER,HIGH,218.82358974358974,195,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,DCA-MCO,BTS_DB1B_PLACEHOLDER,HIGH,223.08833333333334,192,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,DCA-MIA,BTS_DB1B_PLACEHOLDER,HIGH,228.37216981132076,212,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,DCA-ORD,BTS_DB1B_PLACEHOLDER,HIGH,216.2428108108108,185,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,DCA-SEA,BTS_DB1B_PLACEHOLDER,HIGH,206.89308900523562,191,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,EWR-ATL,BTS_DB1B_PLACEHOLDER,HIGH,225.3264361702128,188,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,EWR-DEN,BTS_DB1B_PLACEHOLDER,HIGH,213.1702298850575,174,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,EWR-DFW,BTS_DB1B_PLACEHOLDER,HIGH,226.32558375634517,197,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,EWR-LAX,BTS_DB1B_PLACEHOLDER,HIGH,216.1320197044335,203,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,EWR-MCO,BTS_DB1B_PLACEHOLDER,HIGH,217.05179487179487,195,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
AA,USA,2023Q1,EWR-MIA,BTS_DB1B_PLACEHOLDER,HIGH,222.6870481927711,166,fare_market_yield,revenue_management,income,USD_mean_itinerary_fare,,,,
