Variable Name,Source Document,Source Category,MAS Function,Actor,Actor Type,Valuation Type,Val_Primary,Data Access,Source,Subject_Area,N_AIDM_Elements,Coding_Source
Settlement Amount,SIS IS-XML,Industry Schema,Distribution / GDS,Amadeus (SIS),Vendor,Income,Income,MNAR,M3_PoC_Schema,Settlement with Orders,1,Manual schema coding (M2/M3)
Proration Value,SIS IS-XML,Industry Schema,Distribution / GDS,Amadeus (SIS),Vendor,Income,Income,MNAR,M3_PoC_Schema,Settlement with Orders,1,Manual schema coding (M2/M3)
Five Day Rate (FDR),SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Market,Market,OBSERVED,M3_PoC_Schema,Settlement with Orders,1,Manual schema coding (M2/M3)
Billing Period,SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Cost,Cost,OBSERVED,M3_PoC_Schema,Settlement with Orders,1,Manual schema coding (M2/M3)
Charge Category Code,SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Market,Market,OBSERVED,M3_PoC_Schema,Settlement with Orders,1,Manual schema coding (M2/M3)
Charge Code,SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Market,Market,OBSERVED,M3_PoC_Schema,Settlement with Orders,1,Manual schema coding (M2/M3)
F12 File Total,SIS IS-XML,Industry Schema,Distribution / GDS,Amadeus (SIS),Vendor,Income,Income,MNAR,M3_PoC_Schema,Settlement with Orders,1,Manual schema coding (M2/M3)
Reject Amount,SIS IS-XML,Industry Schema,Distribution / GDS,Amadeus (SIS),Vendor,Risk,Risk,MNAR,M3_PoC_Schema,Settlement with Orders,1,Manual schema coding (M2/M3)
Dispute Amount,SIS IS-XML,Industry Schema,Distribution / GDS,Amadeus (SIS),Vendor,Risk,Risk,MNAR,M3_PoC_Schema,Settlement with Orders,1,Manual schema coding (M2/M3)
Credit Note Value,SIS IS-XML,Industry Schema,Distribution / GDS,Amadeus (SIS),Vendor,Cost,Cost,MNAR,M3_PoC_Schema,Settlement with Orders,1,Manual schema coding (M2/M3)
VAT Amount,SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Cost,Cost,MNAR,M3_PoC_Schema,Settlement with Orders,1,Manual schema coding (M2/M3)
Auto-Billing Uplift,SIS IS-XML,Industry Schema,Distribution / GDS,Amadeus (SIS),Vendor,Income,Income,MNAR,M3_PoC_Schema,Settlement with Orders,1,Manual schema coding (M2/M3)
NFP (Neutral Fare Proration),SIS IS-XML,Industry Schema,Distribution / GDS,Amadeus (SIS),Vendor,Income,Income,MNAR,M3_PoC_Schema,Settlement with Orders,1,Manual schema coding (M2/M3)
BilledMember,SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Income,Income,OBSERVED,M3_PoC_Schema,Settlement with Orders,1,Manual schema coding (M2/M3)
InvoiceNumber,SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Income,Income,OBSERVED,M3_PoC_Schema,Settlement with Orders,1,Manual schema coding (M2/M3)
BillingCategory,SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Market,Market,OBSERVED,M3_PoC_Schema,Settlement with Orders,1,Manual schema coding (M2/M3)
LineItem/ChargeCode,SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Market,Market,OBSERVED,M3_PoC_Schema,Settlement with Orders,1,Manual schema coding (M2/M3)
LineItem/ChargeAmount,SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Income,Income,OBSERVED,M3_PoC_Schema,Settlement with Orders,1,Manual schema coding (M2/M3)
LineItem/TotalNetAmount,SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Income,Income,OBSERVED,M3_PoC_Schema,Settlement with Orders,1,Manual schema coding (M2/M3)
InvoiceSummary/TotalLineItemAmount,SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Income,Income,OBSERVED,M3_PoC_Schema,Settlement with Orders,1,Manual schema coding (M2/M3)
InvoiceHeader/PaymentTerms/CurrencyCode,SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Market,Market,OBSERVED,M3_PoC_Schema,Settlement with Orders,1,Manual schema coding (M2/M3)
Interline Billing Basis,IATA Interline Checklist,Industry Schema,Distribution / GDS,IATA,Industry Body,Income,Income,OBSERVED,M3_PoC_Schema,Settlement with Orders,1,Manual schema coding (M2/M3)
Ticket Type,IATA Interline Checklist,Industry Schema,Distribution / GDS,IATA,Industry Body,Income,Income,OBSERVED,M3_PoC_Schema,Order Management,1,Manual schema coding (M2/M3)
Journey Type,IATA Interline Checklist,Industry Schema,Distribution / GDS,IATA,Industry Body,Market,Market,OBSERVED,M3_PoC_Schema,Order Management,1,Manual schema coding (M2/M3)
Amount to be Prorated,IATA Interline Checklist,Industry Schema,Distribution / GDS,Carrier,Carrier,Income,Income,MNAR,M3_PoC_Schema,Settlement with Orders,1,Manual schema coding (M2/M3)
Fare Owner,IATA Interline Checklist,Industry Schema,Distribution / GDS,Carrier,Carrier,Income,Income,MNAR,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
Fare Type,IATA Interline Checklist,Industry Schema,Distribution / GDS,IATA,Industry Body,Market,Market,OBSERVED,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
Sector Type,IATA Interline Checklist,Industry Schema,Distribution / GDS,IATA,Industry Body,Market,Market,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
