YEAR,MONTH,CARRIER,CARRIER_ID,CARRIER_WAC,ORIGIN,ORIGIN_AIRPORT_ID,ORIGIN_CITY_MARKET_ID,ORIGIN_WAC,DEST,DEST_AIRPORT_ID,DEST_CITY_MARKET_ID,DEST_WAC,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,SERVICE_CLASS,DATA_SOURCE,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME,CARRIER_WAC2
2023,1,EWR,31703.0,21,"Newark, NJ",KEF,32651.0,439,"Keflavik/Reykjavik, Iceland",FI,9439A,0,2601,F,6,838,1,15,0,594000,2392,2136,0,0,0,0,439,
2023,1,EWR,31703.0,21,"Newark, NJ",KEF,32651.0,439,"Keflavik/Reykjavik, Iceland",FI,9439A,0,2601,F,6,634,1,15,0,660000,2670,1893,0,0,0,0,439,
2023,1,KEF,32651.0,439,"Keflavik/Reykjavik, Iceland",EWR,31703.0,21,"Newark, NJ",UA,10874,3,2601,F,6,626,1,1,0,75154,167,92,0,0,394,364,10,
2023,1,KEF,32651.0,439,"Keflavik/Reykjavik, Iceland",EWR,31703.0,21,"Newark, NJ",36Q,71190,0,2601,P,6,833,2,12,0,58476,0,0,8228,0,0,0,429,
2023,1,KEF,32651.0,439,"Keflavik/Reykjavik, Iceland",EWR,31703.0,21,"Newark, NJ",FI,9439A,0,2601,F,6,838,1,15,0,594000,2392,2050,77218,0,0,0,439,
2023,1,KEF,32651.0,439,"Keflavik/Reykjavik, Iceland",EWR,31703.0,21,"Newark, NJ",FI,9439A,0,2601,F,6,634,1,14,0,616000,2492,2067,84300,0,0,0,439,
2023,2,EWR,31703.0,21,"Newark, NJ",KEF,32651.0,439,"Keflavik/Reykjavik, Iceland",FI,9439A,0,2601,F,6,838,1,6,0,237600,960,831,0,0,0,0,439,
2023,2,EWR,31703.0,21,"Newark, NJ",KEF,32651.0,439,"Keflavik/Reykjavik, Iceland",FI,9439A,0,2601,F,6,634,1,19,0,836000,3382,2805,383,0,0,0,439,
2023,2,KEF,32651.0,439,"Keflavik/Reykjavik, Iceland",EWR,31703.0,21,"Newark, NJ",36Q,71190,0,2601,P,6,833,2,1,0,4873,0,0,1168,0,0,0,429,
2023,2,KEF,32651.0,439,"Keflavik/Reykjavik, Iceland",EWR,31703.0,21,"Newark, NJ",FI,9439A,0,2601,F,6,838,1,6,0,237600,960,855,36190,0,0,0,439,
2023,2,KEF,32651.0,439,"Keflavik/Reykjavik, Iceland",EWR,31703.0,21,"Newark, NJ",FI,9439A,0,2601,F,6,634,1,20,0,880000,3560,2624,117036,0,0,0,439,
2023,3,EWR,31703.0,21,"Newark, NJ",KEF,32651.0,439,"Keflavik/Reykjavik, Iceland",FI,9439A,0,2601,F,6,838,1,6,0,237600,960,831,0,0,0,0,439,
2023,3,EWR,31703.0,21,"Newark, NJ",KEF,32651.0,439,"Keflavik/Reykjavik, Iceland",FI,9439A,0,2601,F,6,634,1,19,0,836000,3382,2805,383,0,0,0,439,
2023,3,KEF,32651.0,439,"Keflavik/Reykjavik, Iceland",EWR,31703.0,21,"Newark, NJ",36Q,71190,0,2601,P,6,833,2,13,0,63349,0,0,9856,0,0,0,429,
2023,3,KEF,32651.0,439,"Keflavik/Reykjavik, Iceland",EWR,31703.0,21,"Newark, NJ",FI,9439A,0,2601,F,6,838,1,6,0,237600,960,855,36190,0,0,0,439,
2023,3,KEF,32651.0,439,"Keflavik/Reykjavik, Iceland",EWR,31703.0,21,"Newark, NJ",FI,9439A,0,2601,F,6,634,1,20,0,880000,3560,2624,117036,0,0,0,439,
2023,4,EWR,31703.0,21,"Newark, NJ",KEF,32651.0,439,"Keflavik/Reykjavik, Iceland",FI,9439A,0,2601,F,6,634,1,15,0,660000,2670,2405,0,0,0,0,439,
2023,4,EWR,31703.0,21,"Newark, NJ",KEF,32651.0,439,"Keflavik/Reykjavik, Iceland",FI,9439A,0,2601,F,6,838,1,15,0,594000,2396,2001,260,0,0,0,439,
2023,4,KEF,32651.0,439,"Keflavik/Reykjavik, Iceland",EWR,31703.0,21,"Newark, NJ",36Q,71190,0,2601,P,6,833,2,8,0,38984,0,0,6644,0,0,0,429,
2023,4,KEF,32651.0,439,"Keflavik/Reykjavik, Iceland",EWR,31703.0,21,"Newark, NJ",FI,9439A,0,2601,F,6,838,1,15,0,594000,2396,1893,83140,0,0,0,439,
2023,4,KEF,32651.0,439,"Keflavik/Reykjavik, Iceland",EWR,31703.0,21,"Newark, NJ",FI,9439A,0,2601,F,6,634,1,15,0,660000,2670,2424,71718,0,0,0,439,
2023,5,EWR,31703.0,21,"Newark, NJ",KEF,32651.0,439,"Keflavik/Reykjavik, Iceland",FI,9439A,0,2601,F,6,623,1,13,0,729300,2925,2631,535,0,0,0,439,
2023,5,EWR,31703.0,21,"Newark, NJ",KEF,32651.0,439,"Keflavik/Reykjavik, Iceland",FI,9439A,0,2601,F,6,626,1,1,0,81543,262,233,0,0,0,0,439,
2023,5,EWR,31703.0,21,"Newark, NJ",KEF,32651.0,439,"Keflavik/Reykjavik, Iceland",FI,9439A,0,2601,F,6,838,1,5,0,198000,800,737,0,0,0,0,439,
2023,5,EWR,31703.0,21,"Newark, NJ",KEF,32651.0,439,"Keflavik/Reykjavik, Iceland",FI,9439A,0,2601,F,6,634,1,12,0,528000,2136,1863,0,0,0,0,439,
2023,5,KEF,32651.0,439,"Keflavik/Reykjavik, Iceland",EWR,31703.0,21,"Newark, NJ",36Q,71190,0,2601,P,6,833,2,9,0,43857,0,0,6679,0,0,0,429,
2023,5,KEF,32651.0,439,"Keflavik/Reykjavik, Iceland",EWR,31703.0,21,"Newark, NJ",FI,9439A,0,2601,F,6,626,1,1,0,81543,262,114,6116,0,0,0,439,
2023,5,KEF,32651.0,439,"Keflavik/Reykjavik, Iceland",EWR,31703.0,21,"Newark, NJ",FI,9439A,0,2601,F,6,838,1,5,0,198000,800,638,27425,0,0,0,439,
2023,5,KEF,32651.0,439,"Keflavik/Reykjavik, Iceland",EWR,31703.0,21,"Newark, NJ",FI,9439A,0,2601,F,6,623,1,13,0,729300,2925,2412,67289,0,0,0,439,
2023,5,KEF,32651.0,439,"Keflavik/Reykjavik, Iceland",EWR,31703.0,21,"Newark, NJ",FI,9439A,0,2601,F,6,634,1,12,0,528000,2136,1311,63237,0,0,0,439,
