Variable Name,Source Document,Source Category,MAS Function,Actor,Actor Type,Valuation Type,Data Type,AIDM Domain,Notes,Data Access
Settlement Amount,SIS IS-XML,Industry Schema,Distribution / GDS,Amadeus (SIS),Vendor,Income,Numeric,Settlement with Orders,Net amount due between two parties after billing and proration,MNAR
Proration Value,SIS IS-XML,Industry Schema,Distribution / GDS,Amadeus (SIS),Vendor,Income,Numeric,Settlement with Orders,Portion of through-fare allocated to each carrier segment,MNAR
Five Day Rate (FDR),SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Market,Numeric,Settlement with Orders,Currency conversion rate averaged over 5 banking days ending 25th of month,OBSERVED
Billing Period,SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Cost,Date Range,Settlement with Orders,Monthly time window for interline billings,OBSERVED
Charge Category Code,SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Market,Categorical,Settlement with Orders,IS-XML classification of charge type (PAX/cargo/misc),OBSERVED
Charge Code,SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Market,Categorical,Settlement with Orders,Sub-classification of specific charge type,OBSERVED
F12 File Total,SIS IS-XML,Industry Schema,Distribution / GDS,Amadeus (SIS),Vendor,Income,Numeric,Settlement with Orders,Sum of invoice totals uploaded for weekly ICH clearing,MNAR
Reject Amount,SIS IS-XML,Industry Schema,Distribution / GDS,Amadeus (SIS),Vendor,Risk,Numeric,Settlement with Orders,Value of invoices rejected by billed carrier,MNAR
Dispute Amount,SIS IS-XML,Industry Schema,Distribution / GDS,Amadeus (SIS),Vendor,Risk,Numeric,Settlement with Orders,Value of invoices under formal dispute between carriers,MNAR
Credit Note Value,SIS IS-XML,Industry Schema,Distribution / GDS,Amadeus (SIS),Vendor,Cost,Numeric,Settlement with Orders,Adjustment issued to correct or reverse earlier billing,MNAR
VAT Amount,SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Cost,Numeric,Settlement with Orders,Tax component of invoice — jurisdiction-specific,MNAR
Auto-Billing Uplift,SIS IS-XML,Industry Schema,Distribution / GDS,Amadeus (SIS),Vendor,Income,String/Numeric,Settlement with Orders,Carrier-submitted uplifts triggering automated billing,MNAR
NFP (Neutral Fare Proration),SIS IS-XML,Industry Schema,Distribution / GDS,Amadeus (SIS),Vendor,Income,Numeric,Settlement with Orders,Third-party proration value used in First and Final settlement,MNAR
BilledMember,SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Income,String (AN 3),Settlement with Orders,Member prefix (e.g. 220 for Lufthansa — 001 for American Airlines),OBSERVED
InvoiceNumber,SIS IS-XML,Industry Schema,Distribution / GDS,IATA,Industry Body,Income,String (AN 10),Settlement with Orders,Unique invoice identifier per billing period,OBSERVED
